state,type,date,sex,abs,rate
Johor,neonatal,2020-01-01,both,238,4.1886659626891944
Kedah,neonatal,2020-01-01,both,126,3.7289138798461083
Kelantan,neonatal,2020-01-01,both,145,4.003313086692435
Melaka,neonatal,2020-01-01,both,66,4.768441586590565
Negeri Sembilan,neonatal,2020-01-01,both,70,4.095004095004095
Pahang,neonatal,2020-01-01,both,88,3.4811503619605206
Perak,neonatal,2020-01-01,both,143,4.534931658897029
Perlis,neonatal,2020-01-01,both,27,6.588579795021962
Pulau Pinang,neonatal,2020-01-01,both,70,3.569607343192249
Sabah,neonatal,2020-01-01,both,273,5.547652916073969
Sarawak,neonatal,2020-01-01,both,120,3.3946251768033946
Selangor,neonatal,2020-01-01,both,279,2.9917325241000676
Terengganu,neonatal,2020-01-01,both,107,3.940487589305443
W.P. Kuala Lumpur,neonatal,2020-01-01,both,57,2.4689219041018755
W.P. Labuan,neonatal,2020-01-01,both,9,5.263157894736842
W.P. Putrajaya,neonatal,2020-01-01,both,9,4.201680672268908
Johor,neonatal,2020-01-01,male,129,4.397627326651667
Kedah,neonatal,2020-01-01,male,73,4.172620748785367
Kelantan,neonatal,2020-01-01,male,87,4.649671316337983
Melaka,neonatal,2020-01-01,male,40,5.60931145701865
Negeri Sembilan,neonatal,2020-01-01,male,40,4.512126339537508
Pahang,neonatal,2020-01-01,male,42,3.231514964991921
Perak,neonatal,2020-01-01,male,81,4.926108374384237
Perlis,neonatal,2020-01-01,male,17,8.079847908745247
Pulau Pinang,neonatal,2020-01-01,male,40,3.931976801336872
Sabah,neonatal,2020-01-01,male,144,5.59310184106269
Sarawak,neonatal,2020-01-01,male,77,4.18979214277941
Selangor,neonatal,2020-01-01,male,163,3.384621773707926
Terengganu,neonatal,2020-01-01,male,62,4.394669690955486
W.P. Kuala Lumpur,neonatal,2020-01-01,male,32,2.654940678669211
W.P. Labuan,neonatal,2020-01-01,male,4,4.7225501770956315
W.P. Putrajaya,neonatal,2020-01-01,male,3,2.7958993476234855
Johor,neonatal,2020-01-01,female,109,3.9656552426689955
Kedah,neonatal,2020-01-01,female,53,3.2525314513654497
Kelantan,neonatal,2020-01-01,female,58,3.3125821006339597
Melaka,neonatal,2020-01-01,female,26,3.874813710879285
Negeri Sembilan,neonatal,2020-01-01,female,30,3.6456434560699966
Pahang,neonatal,2020-01-01,female,46,3.745318352059925
Perak,neonatal,2020-01-01,female,62,4.108681245858184
Perlis,neonatal,2020-01-01,female,10,5.015045135406218
Pulau Pinang,neonatal,2020-01-01,female,30,3.1789763696089857
Sabah,neonatal,2020-01-01,female,129,5.497783839072622
Sarawak,neonatal,2020-01-01,female,43,2.5335847277869434
Selangor,neonatal,2020-01-01,female,116,2.5721761497183913
Terengganu,neonatal,2020-01-01,female,45,3.4493331289284073
W.P. Kuala Lumpur,neonatal,2020-01-01,female,25,2.2657241254304874
W.P. Labuan,neonatal,2020-01-01,female,5,5.793742757821553
W.P. Putrajaya,neonatal,2020-01-01,female,6,5.612722170252572
Johor,neonatal,2021-01-01,both,221,4.420884176835368
Kedah,neonatal,2021-01-01,both,146,4.418886198547216
Kelantan,neonatal,2021-01-01,both,181,5.2065354964906225
Melaka,neonatal,2021-01-01,both,62,4.6998180715585205
Negeri Sembilan,neonatal,2021-01-01,both,72,4.291589676342612
Pahang,neonatal,2021-01-01,both,109,4.447708817888766
